afrikaan afrikaans
дисциплинарный дисциплинарный
длиться длится
добиваться добивавшиеся добивались
доклад доклад
документ документ
должен должен должно должны
дома дома
домашние домашних
домашний домашнем
доп доп
дополнительный дополнительное дополнительные дополнительный дополнительных
допустить допустить
достигнуть достигнуто
достижение достижения
достоинство достоинства
доступный доступен
доходить доходили
дрюри дрюри
дэниел дэниел
евро евро
европа европа европе европы
европейский европейская европейский европейских европейского европейской
единожды единожды
единственный единственная единственные единственный
ежедневно ежедневно
женский женские женских
женщина женщин
жеребьевка жеребьёвка жеребьёвки жеребьёвку
жером жером
жоао жоао
жозе жозе
жребий жребий жребию
журнал журнал
жюль жюль
забитый забитых
забить забившая забил
завершение завершения
завершиться завершился
завоевать завоевали
завоевывать завоёвывали
заглавный заглавная
заключаться заключалась
заключительный заключительный
закончить закончила
зало зале
заменить заменившая заменили
замыкать замыкает
занимать занимает занимал
занять занявшие занявших
запись запись
заработать заработанных
заранее заранее
зарегистрировать зарегистрированный
заседание заседании
заслуга заслуги
затем затем
защитить защитившая
заявление заявление
звание звание звании звания
звездочка звёздочкой
земля земле
зепп зепп
зидан зидан
зинедин зинедин
златана златан
знак знак
значение значению значения
золото золота золото
золотой золотого золотой золотые золотыми
ибрагим ибрагимович
иво иво
игра игр игра играх игре игрой игру игры
играть игравшие играет играла играли играть играют
игрок игрок игроком
идея идеи идей идею идея
идти идёт
избранный избран избранные
изменить изменено изменён
изображение изображений
израиль израиля
иметь имеют
имя имени
инструмент инструменты
интерактивный интерактивный
интертото интертото
инфантино инфантино
инфекция инфекции
информация информации информацию информация
иозеф иозеф
ирландия ирландия
исключение исключением
исключительно исключительно
исландия исландия
испанец испанец
испания испании испания
исполком исполкома исполкому
исполнительный исполнительный
использование использованием использования
использоваться используются
исправить исправьте
исса исса
исследование исследование исследованием исследований
история истории историю история
источник источник источникам источниками
исход исход
исходить исходя
италия италии италия
итальянский итальянской
итог итог итогам
июль июля
июнь июне июня
йозеф йозеф
йохана йохана
каждый каждая каждой каждом каждые
казахстан казахстана
карл карл
каталог каталогах
категория категории
каттнер каттнер
каф каф
качество качестве
квалификационный квалификационная квалификационного квалификационной квалификационном квалификационные квалификационный квалификационных
квалификация квалификацию квалификация
квалифицироваться квалифицировались квалифицируются
квартира квартира
кг кг
кезер кезер
кейн кейн
кельня кёльне
кигали кигали
кидаться кидалась
китайский китайская
клинсманн клинсманн
клуб клуб клубов
клубный клубные клубный
клюйверт клюйверт
код код
кодекс кодекс
кодовый кодов
количество количества количество
команда команд команда командами команды
комиссия комиссии комиссия
комитет комитет комитетом
конгресс конгресс конгресса конгрессе конгрессу конгрессы
конкакаф конкакаф
конкурс конкурс
конмебол конмебол
константарас константарас
константин константин
континентальный континентального
конфедерация конфедерации конфедераций
конференция конференции конференций конференция
конфиденциальность конфиденциальности
копенгаген копенгагене
копия копия
королевский королевского
коронавирусной коронавирусной
короткий короткий
коррупционный коррупционный
коррупция коррупция
который которая которого которые который которыми
коэффициент коэффициент коэффициентов
краай краай
краая краая
критерий критерий
криштиану криштиану
кроме кроме
круг круга
крупный крупная
кубковый кубков кубковый
кубок кубка кубке кубком кубок
кук куки
курт курт
кэш кэшем
ламин ламин
латвия латвия
левандовский левандовский
лезги лезги
лешек лешек
лига лига
лидировать лидирует
линси линси
лиссабон лиссабоне
лицензия лицензии
личной личной
лишать лишает
лишь лишь
лу лу
луи луи
лукаку лукаку
любительский любительские
любой любая
майя май
македония македония
марио марио
марко марко
маркус маркус
марта март марта марте
материал материал
маттиас маттиас
матч матч матча матчах матче матчей матчи
мая мая
медаль медалей медали медалями
международный международного международный
межконтинентальный межконтинентальный межконтинентальных
меридиан меридиана
место мест места месте место
месяц месяца месяце
мечта мечты
милан милан
милошевич милошевич
минь мини
мир мира
мировой мировых
михайло михайло
мишель мишелем мишель
многие многие
множество множество
мобильный мобильная
молодая молодой молодым
молодежный молодёжный молодёжных
момент момент
монгол монгол
монетка монетка
мората мората
мочь могли могут можете
мужской мужские
мужчина мужчин
мулинхаус мулинхаус
мяч мяч мячей
навигация навигации навигация
награда награда награды
наградить наградить
награждать награждать
награждаться награждается награждался
назад назад
название название названием названия
названый назван
назначаться назначается
называться назывался
наиболее наиболее
найти нашла
наличие наличии
национальный национальная национальные национальных
нация наций
начало начала началом
начать начатое начать
начинать начиная
начинаться начинается
неделя неделю
недим недим
недостаток недостатков
некоммерческий некоммерческой
немалый немало
немного немного
немой нем
необходимость необходимости
нередко нередко
несколько несколько
несогласие несогласие
несуществующий несуществующие
нидерланды нидерландов нидерланды
низкий ниже
никто никому никто
нистелрой нистелрой
ничей ничьи ничью
ничейный ничейном
новый новые новый новым
норвегия норвегия
носить носили
ноябрь ноября
нуну нуну
ныне ныне
нынешний нынешние
обладатель обладателей обладателем
обновить обновив
обновление обновления
обозначить обозначены
обращение обращения
обсудить обсудили
обсуждаться обсуждалось
обсуждение обсуждение обсуждения
общий общей общему
объявить объявил объявлено
обыграть обыграв
обязать обязаны
ограничиваться ограничивался
одержать одержавшие одержали
одинаковый одинаковое
однако однако
одновременно одновременно
ознакомить ознакомил
оказаться оказалось
октябрь октябре октябрь
олимпийский олимпийских
онлайн онлайн
оно оно
описание описание
определение определение определения
определить определят
определяться определяется определялись определяются
опубликовать опубликовал
организация организации
организовать организовать
орден орден
оригинал оригиналом
оригинальный оригинальное оригинальным оригинальных
основа основе основу
основать основан
основное основного основное
отбор отбор отборах отборе
отборочный отборочного отборочной отборочном отборочные отборочный отборочным отборочных
ответственность ответственности
ответственный ответственным
отдельный отдельных
отелить отеля
отзыв отзыв
отказ отказ
отказаться отказались
отклонение отклонения
открытие открытии открытия
отложить отложен
отменить отменено отменён
отобрать отобрать
отредактировать отредактирована
отсутствие отсутствии
отторино отторино
официально официально
официальный официальном официальный
офк офк
офф офф
очищать очищаемым
очки очками очки очков
очко очка
ошибка ошибке
пандемия пандемии
параметр параметру
париж париж париже
парижский парижским
патрик патрик
пеле пеле
пенальти пенальти
первенство первенства первенство
первое первого первое первом первому первые первым
первоначально первоначально
первый первую первый
переигровка переигровка
перейти перейти
переломный переломный
перенос переносе
персональный персональные
печать печати печать
план план
платини платини
плей плей
плохой худшие
пляжный пляжному пляжный
победа победа победу победы
победитель победители победитель победителя победителями
победить победившая
победный победный
побеждать побеждавших
побить побив
поведение поведения
повторно повторно
подготовить подготовить
подготовка подготовке подготовку
поддержка поддержки
подозревать подозреваемые
подробный подробнее
подряд подряд
подтвердить подтвердите
пожертвовать пожертвовать
поздний позже
позиция позиции
поиск поиск поиску
показатель показателей
политик политика
положение положению
положить положен
полуфинал полуфинал полуфинала полуфинале полуфиналы
полуфиналист полуфиналист полуфиналисты
полуфинальный полуфинальной
получать получает получала получая
получить полученных получивших получил получить
польза пользу
польша польша
помочь помочь
попадание попадания
попадать попадала попадали попадают
попасть попавшая попавших попали попасть
попытка попытка
поражение поражение
португалия португалии португалия
посев посев посева
посевочных посевочных
последний последнего последний последних последняя
послематчевые послематчевые
послематчевых послематчевых
посредство посредством
постоянный постоянная
поэтому поэтому
правило правилам
править правило править
правка правка правки
правый право
праздновать праздновала
практик практики
предложение предложения
предложить предложил
предполагать предполагал
предположение предположением
предпринять предпринята
председатель председатель
председательство председательством
представитель представителей представители
представить представить представлены
представиться представились
представлять представляющая
предыдущий предыдущему предыдущих
прежде прежде
президент президент президента президентом президенты
президентский президентская
премия премия
привести приведённым
призер призёров призёры
прийти пришло
применяться применявшаяся применяется
примечание примечание примечания
принимать принимала принимали принимало принимают принимающих принимающую
принцип принцип принципов принципу
принять принял приняли приняло принято
причем причём
причина причина
проблема проблем
проведение проведение проведению проведения
проверить проверьте
провести проведён провести
проводить проводила проводимое проводимые
проводиться проводился проводится проводятся
проголосовать проголосовало
продолжаться продолжался продолжающейся
проект проект проекта проектах проекте проектом проекту
проиграть проигравшая проигравшего проигравшие проиграла проиграли
проигрывать проигрывала
производиться производится
произойти произошёл
происходить происходит
пройти пройти прошла прошло прошёл
просмотр просмотры
против против
противный противном
проходить проходили проходит проходить проходят
процесс процессе
прочий прочее прочие
прошедший прошедшего прошедшем прошедших
путем путём
путешественник путешественников
пухоль пухоль
пушкаша пушкаша
пы пы
пьер пьер
работа работу
равный равны равный
разбиваться разбиваются
разбить разбиты
развязать развязали
раздел разделе
раздельный раздельное
раздеть раздел
различный различных
разница разница
разный разного разному разные
разработать разработала
разработка разработки
разработчик разработчики
разыгрывать разыгрываемые разыгрываемых
ранг ранга ранге
ранее ранее
распад распада распадом
распределяться распределяются
расширение расширение расширении расширения
расширить расширен
расширяться расширяться
раунд раунд раунда раунде
регион регион регионов
региональный региональной региональных
регулярно регулярно
результат результате результатов результаты
результативность результативность
результативный результативный
рейтинг рейтинг рейтинги рейтингом
рекорд рекорд рекорды
республика республика республикой
ресурс ресурсы
решать решает
решение решение
решить решено
рим риме
робер робер
роберт роберт
родина родине
родной родной
ромелу ромелу
роналду роналду
россия россия
роуз роуз
руда руд
рудольф рудольф
руководство руководство руководством
румыния румынии румыния
руни руни
русский русский
руффинен руффинен
рыльск рыльски
саво саво
сайт сайт сайте
самур самура
самый самая самый самым
санкция санкций
сантиметр см
сборная сборная сборной сборные сборными сборных
сведение сведения
свежий свежие
свисток свистка
свободный свободной
свое своими своих
своеобразный своеобразная
свой своей свой
связанный связанные
связаться свяжитесь
связь связи
северный северная
секретарить секретарь секретаря
секретарь секретари секретарём
секунда секунды
селдрейерс селдрейерс
семь семь
сентябрь сентября
сербия сербия
серебро серебро
серебряный серебряного серебряные серебряными
серия серию серия
сеть сетях
сильнейший сильнейших
система система системе системы
скандал скандал
скачать скачать
скрытый скрытые
следовать следовало
следующий следующего следующем следующему следующий следующих
словакия словакия
словарь словари
словения словения
сложность сложности
служебный служебные
случай случае случаях
случайный случайная
сменить сменили
смочь смогла
сначала сначала
снг снг
снять снята
собрание собрании
событие события
совет совет совете
советский советского
совещание совещаний
соглашение соглашение
содержание содержание
содержать содержит
создание создание создании создания
создать создан создать
сокращенно сокращённо
сообщаться сообщалось
сообщество сообщество
сообщить сообщить
соответствие соответствие
соперник соперниками
соревнование соревнование соревнований соревнования соревнованиях
состав состав состава составе составы
составить составили
состояться состоялась состояться
сохранение сохранением
социальный социальных
союз союза
союзный союзная
список список
спорить спорящими спорящих
спорт спорт
спортивный спортивные
справка справка
спустя спустя
сразу сразу
среди среди
средний среднее среднем среднему средняя
српски српски
српскохрватски српскохрватски
ссср ссср
ссылка ссылка ссылки
ставить ставит
стадий стадия
стадия стадией
становиться становившаяся становившиеся становилась становится
стартовый стартового
статистика статистика
статус статус статусе
стать ставшая ставшие стал стала стали стало стать
статья статьи статья
стокгольм стокгольма
столетие столетия
сторонник сторонников
страна стран страна странах стране страну страны
страница страница странице страницу страницы
стыковой стыковые
стэнли стэнли
суперкубок суперкубок
существовать существуют
счет счёт счётом
сыгранный сыгранных
сыграть сыгравшим сыграли сыграют
сын сын
сюда сюда
таблица таблица
также также
талисман талисманы
тарашкевіца тарашкевіца
татарча татарча
текст текст
текущий текущем текущие
термин термина
территория территории
течение течение
тип тип
титул титул титула
титуловать титулован титулованная
товарный товарный
торрес торрес
трактоваться трактовалось
тренер тренер тренеры
третье третье
трижды трижды
трики трики
тройка тройку
трофей трофей трофея
турнир турнир турнира турнирах турнире турниров турниром турниры
турция турция
тьерри тьерри
тяжелый тяжелее
убрать убрав
увеличение увеличением
увеличить увеличит
угроза угрозу
удаваться удавалось
удаленный удалён
удалить удалите
удаться удалось
уефа уефа
указание указанием
указать указал указано
украина украина
українська українська
уменьшить уменьшить
умереть умер
упразднить упразднён
урна урн
урс урс
условие условий условия
успех успеха
устарелый устарела
утвердить утвердили утверждён
участвовать участвовала участвовали участвовало участвовать участвуют участвующие
участие участие участий участия
участник участники участников
учетный учётную
учредительный учредительной
уэйн уэйн
уэльс уэльс
фанат фанатов
фатма фатма
февраль февраля
федерация федерации федераций
фейр фейр
ференц ференца
фернандо фернандо
фестиваль фестиваль
фильм фильм
финал финал финала финале финалов финалы
финалиссима финалиссима
финалист финалист финалиста финалистов финалистом
финальный финальная финального финальной финальном финальную финальные финальный финальных
финляндия финляндия
фифа фифа
фонд фонд
фонлантена фонлантена
форест форест
формат формат формату
формирование формирование
формироваться формируются
форум форум
фото фото
фр фр
франц франц
франция франции франция
фрг фрг
фря фрей
футбо футбо
футбол футбол футбола футболу
футбольный футбольного футбольный футбольных
футзал футзал
хаяту хаяту
хельмут хельмут
хет хет
хиршман хиршман
хозяин хозяев хозяева хозяевами хозяин
хозяйка хозяйка хозяйке хозяйки
хорватия хорватия
хороший лучшая лучшей лучшие лучших
хотя хотя
хранить хранил
целесообразность целесообразности
цена цен
цитировать цитировать
цюрих цюрих цюрихе
частить части
часть часть
чемпион чемпион чемпиона чемпионами чемпионов чемпионом чемпионы
чемпионат чемпионат чемпионата чемпионатами чемпионатах чемпионате чемпионатов чемпионату чемпионаты
черногория черногория
честь честь
четвертьфинал четвертьфинале
четыре четыре четырёх
четырежды четырежды
чехия чехия
чехословакия чехословакии чехословакия
число числа число числу
читать читать
член членах члены
шаблон шаблон шаблона шаблонами
шакири шакири
шанс шанс
шварц шварц
швейцария швейцария
швеция швеция
шебеш шебеш
шестнадцать шестнадцать
шесть шесть
шик шик
ширер ширер
шобийоном шобийоном
шотландия шотландией шотландия
шрикер шрикер
штаб штаб
эббе эббе
экономика экономика
экспорт экспорт
экспресс экспресс
элемент элемент
энциклопедия энциклопедии
этап этап этапа этапе
этика этике
это это этому
юбилей юбилея
ювелир ювелиром
югославия югославией югославии югославию югославия
юлиуш юлиуш
юношеский юношеская юношеские юношеских
юрген юрген
являться являющуюся являясь
язык языках
ямаль ямаль
ясный ясно
ўзбекча ўзбекча
қазақша қазақша
հայերեն հայերեն
עברית עברית
اردو اردو
الدارجة الدارجة
العربية العربية
رونی رونی
فارسی فارسی
ماز ماز
مصرى مصرى
کوردی کوردی
मर मर
தம தம
ಕನ ಕನ
ನಡ ನಡ
മലയ മലയ
ไทย ไทย
ລາວ ລາວ
მარგალური მარგალური
ქართული ქართული
中文 中文
吴语 吴语
日本語 日本語
粵語 粵語
한국어 한국어
